Roaming Scheme ID,Allow Roaming,Roaming Scheme Name,Roaming SGSN ID,SGSN Number,Number Type,Local SGSN,Description
3,Yes,3,414,2584,Number prefix,No,
3,Yes,3,415,25882,Number prefix,No,
3,Yes,3,416,25884,Number prefix,No,
3,Yes,3,417,25886,Number prefix,No,
3,Yes,3,434,26097,Number prefix,No,
3,Yes,3,443,26133,Number prefix,No,
3,Yes,3,456,2626920,Number prefix,No,
3,Yes,3,457,26269200,Number prefix,No,
3,Yes,3,458,26285,Number prefix,No,
3,Yes,3,460,26323,Number prefix,No,
3,Yes,3,461,26371,Number prefix,No,
3,Yes,3,462,26377,Number prefix,No,
3,Yes,3,463,26391,Number prefix,No,
3,Yes,3,464,26481,Number prefix,No,
3,Yes,3,465,26485,Number prefix,No,
3,Yes,3,484,26599,Number prefix,No,
3,Yes,3,485,2665,Number prefix,No,
3,Yes,3,486,2666,Number prefix,No,
3,Yes,3,487,26771,Number prefix,No,
3,Yes,3,488,26772,Number prefix,No,
3,Yes,3,489,26773,Number prefix,No,
3,Yes,3,1151,22503,Number prefix,No,
3,Yes,3,490,26876,Number prefix,No,
3,Yes,3,491,2693,Number prefix,No,
3,Yes,3,492,27812,Number prefix,No,
3,Yes,3,493,2782,Number prefix,No,
3,Yes,3,494,2783,Number prefix,No,
3,Yes,3,495,2784,Number prefix,No,
3,Yes,3,497,30693,Number prefix,No,
3,Yes,3,498,30694,Number prefix,No,
3,Yes,3,499,30699,Number prefix,No,
3,Yes,3,500,3093,Number prefix,No,
3,Yes,3,501,3094,Number prefix,No,
3,Yes,3,502,3097,Number prefix,No,
3,Yes,3,503,31624,Number prefix,No,
3,Yes,3,504,31626,Number prefix,No,
3,Yes,3,505,31628,Number prefix,No,
3,Yes,3,506,31653,Number prefix,No,
3,Yes,3,507,31654,Number prefix,No,
3,Yes,3,508,32475,Number prefix,No,
3,Yes,3,509,32486,Number prefix,No,
3,Yes,3,510,32495,Number prefix,No,
3,Yes,3,511,33609,Number prefix,No,
3,Yes,3,512,3364162,Number prefix,No,
3,Yes,3,513,33660,Number prefix,No,
3,Yes,3,514,33662,Number prefix,No,
3,Yes,3,515,33689,Number prefix,No,
3,Yes,3,516,33695,Number prefix,No,
3,Yes,3,517,33751,Number prefix,No,
3,Yes,3,518,346022,Number prefix,No,
3,Yes,3,519,34606,Number prefix,No,
3,Yes,3,520,3460647,Number prefix,No,
3,Yes,3,521,34607,Number prefix,No,
3,Yes,3,522,34609,Number prefix,No,
3,Yes,3,523,34622,Number prefix,No,
3,Yes,3,524,34630,Number prefix,No,
3,Yes,3,525,34640009,Number prefix,No,
3,Yes,3,526,346404,Number prefix,No,
3,Yes,3,527,34654,Number prefix,No,
3,Yes,3,528,34656,Number prefix,No,
3,Yes,3,529,346681,Number prefix,No,
3,Yes,3,530,34690,Number prefix,No,
3,Yes,3,531,34697,Number prefix,No,
3,Yes,3,532,35191,Number prefix,No,
3,Yes,3,533,35193,Number prefix,No,
3,Yes,3,534,35196,Number prefix,No,
3,Yes,3,535,352021,Number prefix,No,
3,Yes,3,1078,352621,Number prefix,No,
3,Yes,3,536,352061,Number prefix,No,
3,Yes,3,537,352091,Number prefix,No,
3,Yes,3,538,35385,Number prefix,No,
3,Yes,3,539,35386,Number prefix,No,
3,Yes,3,540,35387,Number prefix,No,
3,Yes,3,541,354611,Number prefix,No,
3,Yes,3,542,354650,Number prefix,No,
3,Yes,3,543,35469,Number prefix,No,
3,Yes,3,544,35482,Number prefix,No,
3,Yes,3,545,35489,Number prefix,No,
3,Yes,3,546,35568,Number prefix,No,
3,Yes,3,547,35569,Number prefix,No,
3,Yes,3,548,35679,Number prefix,No,
3,Yes,3,549,35694,Number prefix,No,
3,Yes,3,551,35796,Number prefix,No,
3,Yes,3,552,35799,Number prefix,No,
3,Yes,3,553,35840,Number prefix,No,
3,Yes,3,554,358451,Number prefix,No,
3,Yes,3,555,35850,Number prefix,No,
3,Yes,3,556,35987,Number prefix,No,
3,Yes,3,557,35988,Number prefix,No,
3,Yes,3,558,35989,Number prefix,No,
3,Yes,3,1076,1404726,Number prefix,No,USA AT&T
3,Yes,3,559,35998,Number prefix,No,
3,Yes,3,560,3620,Number prefix,No,
3,Yes,3,561,3630,Number prefix,No,
3,Yes,3,562,3670,Number prefix,No,
3,Yes,3,563,370684,Number prefix,No,
3,Yes,3,564,370698,Number prefix,No,
3,Yes,3,565,370699,Number prefix,No,
3,Yes,3,566,37125,Number prefix,No,
3,Yes,3,567,371295,Number prefix,No,
3,Yes,3,568,371298,Number prefix,No,
3,Yes,3,569,37250,Number prefix,No,
3,Yes,3,570,37255,Number prefix,No,
3,Yes,3,571,37256,Number prefix,No,
3,Yes,3,572,37365,Number prefix,No,
3,Yes,3,573,373691,Number prefix,No,
3,Yes,3,574,37493,Number prefix,No,
3,Yes,3,575,375296,Number prefix,No,
3,Yes,3,576,375297,Number prefix,No,
3,Yes,3,577,38050,Number prefix,No,
3,Yes,3,578,38067,Number prefix,No,
3,Yes,3,579,38068,Number prefix,No,
3,Yes,3,580,38163,Number prefix,No,
3,Yes,3,581,38167,Number prefix,No,
3,Yes,3,583,38268,Number prefix,No,
3,Yes,3,584,38269,Number prefix,No,
3,Yes,3,585,38598,Number prefix,No,
3,Yes,3,586,38640,Number prefix,No,
3,Yes,3,587,38641,Number prefix,No,
3,Yes,3,588,38670,Number prefix,No,
3,Yes,3,589,38765,Number prefix,No,
