Roaming Scheme ID,Allow Roaming,Roaming Scheme Name,Roaming VLR ID,VLR Address,GSM SSF Address,Local VLR,VLR Number Type,Description
1,Yes,1,779,8216,8216,No,Number prefix,
1,Yes,1,776,821020,821020,No,Number prefix,
1,Yes,1,20,131231,131231,No,Number prefix,
1,Yes,1,16,130333,130333,No,Number prefix,
1,Yes,1,26,133433,133433,No,Number prefix,
1,Yes,1,24,133053,133053,No,Number prefix,
1,Yes,1,23,1320334,1320334,No,Number prefix,
1,Yes,1,27,1360339,1360339,No,Number prefix,
1,Yes,1,25,1330531,1330531,No,Number prefix,
1,Yes,1,17,1304777,1304777,No,Number prefix,
1,Yes,1,21,13188545,13188545,No,Number prefix,
1,Yes,1,22,13188547,13188547,No,Number prefix,
1,Yes,1,168,2315,2315,No,Number prefix,
1,Yes,1,244,2356,2356,No,Number prefix,
1,Yes,1,167,23072,23072,No,Number prefix,
1,Yes,1,166,23025,23025,No,Number prefix,
1,Yes,1,198,23326,23326,No,Number prefix,
1,Yes,1,184,23276,23276,No,Number prefix,
1,Yes,1,251,23707,23707,No,Number prefix,
1,Yes,1,199,23327,23327,No,Number prefix,TIGO GHANA
1,Yes,1,252,23767,23767,No,Number prefix,
1,Yes,1,253,23769,23769,No,Number prefix,
1,Yes,1,220,234802,234802,No,Number prefix,
1,Yes,1,513,33660,33660,No,Number prefix,
1,Yes,1,517,33751,33751,No,Number prefix,
1,Yes,1,514,33662,33662,No,Number prefix,
1,Yes,1,516,33695,33695,No,Number prefix,
1,Yes,1,511,33609,33609,No,Number prefix,
1,Yes,1,515,33689,33689,No,Number prefix,
1,Yes,1,615,43660,43660,No,Number prefix,
1,Yes,1,616,43664,43664,No,Number prefix,
1,Yes,1,737,63918,63918,No,Number prefix,
1,Yes,1,37,14415,14415,No,Number prefix,
1,Yes,1,33,140541,140541,No,Number prefix,
1,Yes,1,29,140445,140445,No,Number prefix,
1,Yes,1,34,140547,140547,No,Number prefix,
1,Yes,1,38,144159,144159,No,Number prefix,
1,Yes,1,28,1403408,1403408,No,Number prefix,
1,Yes,1,32,1404725,1404725,No,Number prefix,
1,Yes,1,40,1494725,1494725,No,Number prefix,
1,Yes,1,36,1441336,1441336,No,Number prefix,
1,Yes,1,30,1404455,1404455,No,Number prefix,
1,Yes,1,35,1438276,1438276,No,Number prefix,
1,Yes,1,336,24991,24991,No,Number prefix,
1,Yes,1,316,24492,24492,No,Number prefix,
1,Yes,1,337,24992,24992,No,Number prefix,
1,Yes,1,259,24104,24104,No,Number prefix,
1,Yes,1,280,24205,24205,No,Number prefix,
1,Yes,1,263,24107,24107,No,Number prefix,
1,Yes,1,326,24827,24827,No,Number prefix,
1,Yes,1,314,24399,24399,No,Number prefix,
1,Yes,1,524,34630,34630,No,Number prefix,
1,Yes,1,530,34690,34690,No,Number prefix,
1,Yes,1,523,34622,34622,No,Number prefix,
1,Yes,1,527,34654,34654,No,Number prefix,
1,Yes,1,519,34606,34606,No,Number prefix,
1,Yes,1,528,34656,34656,No,Number prefix,
1,Yes,1,521,34607,34607,No,Number prefix,
1,Yes,1,531,34697,34697,No,Number prefix,
1,Yes,1,522,34609,34609,No,Number prefix,
1,Yes,1,529,346681,346681,No,Number prefix,
1,Yes,1,518,346022,346022,No,Number prefix,
1,Yes,1,526,346404,346404,No,Number prefix,
1,Yes,1,525,34640009,34640009,No,Number prefix,
1,Yes,1,649,44973,44973,No,Number prefix,
1,Yes,1,623,44385,44385,No,Number prefix,
1,Yes,1,642,447870,447870,No,Number prefix,
1,Yes,1,636,447781,447781,No,Number prefix,
1,Yes,1,639,447802,447802,No,Number prefix,
1,Yes,1,644,447953,447953,No,Number prefix,
1,Yes,1,646,447973,447973,No,Number prefix,
1,Yes,1,635,447624,447624,No,Number prefix,
1,Yes,1,637,447785,447785,No,Number prefix,
1,Yes,1,638,447797,447797,No,Number prefix,
1,Yes,1,645,447958,447958,No,Number prefix,
1,Yes,1,632,447488,447488,No,Number prefix,
1,Yes,1,640,4478228,4478228,No,Number prefix,
1,Yes,1,643,4478921,4478921,No,Number prefix,
1,Yes,1,641,4478297,4478297,No,Number prefix,
1,Yes,1,634,4475896,4475896,No,Number prefix,
1,Yes,1,698,5434,5434,No,Number prefix,
1,Yes,1,784,8497,8497,No,Number prefix,
1,Yes,1,41,150351,150351,No,Number prefix,
1,Yes,1,48,154084,154084,No,Number prefix,
1,Yes,1,42,150545,150545,No,Number prefix,
1,Yes,1,51,156227,156227,No,Number prefix,
1,Yes,1,50,1541287,1541287,No,Number prefix,
1,Yes,1,49,154084893,154084893,No,Number prefix,
1,Yes,1,414,2584,2584,No,Number prefix,
1,Yes,1,358,2519,2519,No,Number prefix,
1,Yes,1,363,25290,25290,No,Number prefix,
1,Yes,1,359,25191,25191,No,Number prefix,
1,Yes,1,348,25072,25072,No,Number prefix,
1,Yes,1,415,25882,25882,No,Number prefix,
1,Yes,1,349,25073,25073,No,Number prefix,
1,Yes,1,416,25884,25884,No,Number prefix,
1,Yes,1,401,25675,25675,No,Number prefix,
1,Yes,1,409,25775,25775,No,Number prefix,
1,Yes,1,417,25886,25886,No,Number prefix,
1,Yes,1,361,25267,25267,No,Number prefix,
1,Yes,1,364,25377,25377,No,Number prefix,
1,Yes,1,367,25478,25478,No,Number prefix,
1,Yes,1,385,25578,25578,No,Number prefix,
1,Yes,1,362,25269,25269,No,Number prefix,
1,Yes,1,408,25769,25769,No,Number prefix,
1,Yes,1,412,25779,25779,No,Number prefix,
1,Yes,1,365,254760,254760,No,Number prefix,
1,Yes,1,366,254763,254763,No,Number prefix,
1,Yes,1,553,35840,35840,No,Number prefix,
1,Yes,1,532,35191,35191,No,Number prefix,
1,Yes,1,544,35482,35482,No,Number prefix,
